전통주명,가격,용량,주종,도수,단맛,신맛,바디감,향,청량감,균형감,목넘김,맛,잘 어울리는 음식,주원료,제조사
지란지교 무화과 탁주,"30,000",500ml,탁주,12,4,4,4,,1,,,,"갈치조림, 고등어무조림, 무화과타르트","찹쌀, 멥쌀(국내산), 전통누룩(국내산 밀), 정제수, 무화과청, 레드비트분말, 밀함유",
지리산 정담 생쌀 막걸리,"1,500",750ml,탁주,6,1,3,1,,2,,,,과일 샐러드,"쌀(국내산), 종국, 정제수, 누룩, 효모",운봉주조
지리산 허브잎술 쌀 막걸리,"1,500",750ml,탁주,6,1,2,1,,2,,,,닭갈비,"쌀(국내산), 입국, 정제수, 효모, 곡자, 국내산허브(로즈마리, 라벤다잎줄기추출액, 울금) 등",운봉주조
지장수 호박 생 막걸리,"1,400",750ml,탁주,6,3,1,2,,2,,,,메밀전,"정제수(지장수), 쌀, 효모, 누룩, 과당 등",낙천
지장수 호박막걸리,"5,000",550ml,탁주,6,2,1,2,,1,,,,"겉절이 김치, 수육","국내산 쌀, 호박",낙천
지평 생 쌀막걸리,"1,650",1700ml,탁주,5,4,1,2,,4,,,,"야채, 된장, 고추장","쌀(국내산), 정제수, 국, 효모, 정제효소 등",지평주조
지평 생 옛막걸리,"2,500",1700ml,탁주,5,4,1,2,,2,,,,파김치,"밀, 정제수, 국, 분말종국, 효모, 정제효소 등",지평주조
찰막걸리,"30,000",750ml,탁주,5.5,2,2,2,,3,,,,매운 음식,"정제수, 쌀, 밀가루, 찹쌀, 입국, 효모 정제효소제, 아스파탐",
참동이 허브잎술,"1,500",900ml,탁주,6,3,3,3.5,,3,,3,,,"국내산 쌀, 로즈마리 허브",운봉주조
창원 생탁주,"1,000",750ml,탁주,6,3,3,3,,3,,,,"코다리찜, 가오리찜","쌀(국내산), 누룩, 효소, 아스파탐, 정제수",
천마이야기 막걸리,"1,500",750ml,탁주,6,2,2,1,,2,,,,육회 안주,국내산 쌀,농업회사법인산들벗(주)
천지주가 생 막걸리,"1,400",750ml,탁주,6,3,2,1,,2,,,,피순대,"쌀, 정제수, 국, 효모",
청산녹수 꿀막걸리,"18,000",750ml,탁주,8,1,2,4,,3,,,,양념갈비,"쌀(국내산), 벌꿀(국내산), 사과농축액, 효모, 정제효소",
톡쏘는 쌀 막걸리,"1,500",750ml,탁주,6,3,3.5,3,,3.5,,2.5,,,국내산 쌀,우리술
편백숲 산소막걸리,"1,900",750ml,탁주,5.2,3,3,3,,3,,,,"기름진 전, 고기류","쌀, 사과농축액,누룩,올리고당,아스파탐",청산녹수
편백숲 산소막걸리 딸기 스파클링,"41,000",940ml,탁주,6.8,3,2,3,,5,,,,기름진 음식(수육),"찹쌀, 멥쌀, 누룩, 딸기, 올리고당",청산녹수
편백숲 산소막걸리 순수령,"4,000",750ml,탁주,5.8,3,1,4,,1,,,,"호두, 땅콩","찹쌀, 맵쌀, 누룩",청산녹수
풍정사계 추(秋),"15,000",500ml,탁주,12,1,2,2,,1,,,,홍어삼합,풍정사계 추(秋),화양
하얀연꽃 백련막걸리 Snow,"1,600",375ml,탁주,6,2,2,2,,4,,,,숯불 바베큐,국내산 쌀,신평양조장
하얀연꽃 백련생막걸리 Misty,"3,000",375ml,탁주,7,2,3,2,,4,,,,양념한 생선찜,"국내산 백미, 국내산 백련잎",신평양조장
해창 생 막걸리 12도,"10,000",900ml,탁주,12,1,1,4,,2,,,,꼬막 무침,"햅쌀, 찹쌀, 물, 누룩",
해창 생막걸리 6도,"3,000",900ml,탁주,6,1,1,2,,3,,,,간재미 찜,"햅쌀, 찹쌀, 물, 누룩",해창주조장
해창 생막걸리 9도,"6,000",900ml,탁주,9,1,1,2,,2,,,,전복구이,"햅쌀, 찹쌀, 물, 누룩",해창주조장
행운 생유자 동동주,"1,100",750ml,탁주,6,2,3,3,,3,,,,멸치양념무침,"쌀(국내산), 소맥분(미국산), 전분당, 정제수, 유자과즙, 치자, 정제효소, 종국, 효모, 젖산, 아스파탐",성포양조장
호담 산양산삼 막걸리,"16,000",750ml,탁주,6,1,3,1,,3,,,,김치전,"쌀(경기미), 입국, 산양산삼, 정제수, 아스파탐",대농바이오우리산삼
호랑이 생 막걸리,"2,200",750ml,탁주,6,4,1,4,,2,,,,중국음식,"물, 쌀(국내산),에리스리톨, 효모, 국, 젖산, 합성향료,밀함유",배혜정도가
홍천강 탁주,"10,000",500ml,탁주,11,2,3,2,,2,,,,양념갈비,"홍천 쌀, 정제수, 국(밀 누룩)",예술주조
희양산 막걸리 9도,"8,000",750ml,탁주,9,2,3,3,,2,,,,고기류,"정제수, 쌀(국내산), 누룩(국내산), 효모",두술도가
G12 골디락스,"12,000",500ml,탁주,12,2,2,3,,2,,,,"닭백숙, 오리백숙, 편육, 새우젓, 겉절이","정제수, 멥쌀(국내산), 찹쌀(국내산), 누룩, 종국, 효모, 밀함유",
