name,address,time,phone,menu
도르리,서울 광진구 천호대로109길 7 1층,"매일 17:00-1:00 (화요일 휴무, 낮술 사전예약 및 4시대 오픈 가능)",02-6398-1010,"우니와 단새우, 제철조개술찜, 2+한우육회, 오믈렛 감자전, 명란구이"
솟대막걸리 양조장,서울 관악구 신림로 305,"매일 16:00 - 23:00 (라스트오더 22:15, 월요일 휴무)",02-872-9156,"양조장 수육, 매운 콩나물 오징어, 통 골뱅이 소면무침, 고기 김치전, 뚝배기 어묵탕"
삼씨오화,서울 마포구 마포대로4가길 41,"매일 11:30 - 13:30 (주말 정기휴무, 내부 사정으로 인하여 점심 영업중)",02-715-3355,"칼만둣국, 봄나물전, 목살구이에 곁들여 먹는 홍어장과 오이지 삼합, 삼씨오화 군만두, 참가자미 구이, 갑오징어숙회, 만두전골"
윤달,서울 마포구 동교로 262-3 B1층,"매일 17:00 - 00:00 (라스트오더 23:30, 화요일 휴무)",0507-1362-6725,"소고기 사태수육 전골, 고추장 돼지꼬리 구이, 미도어묵탕, 생선구이와 된장나물무침"
주방문,서울 강서구 마곡중앙로 171 207호,"매일 18:00-02:00(라스트오더 01:00, 일요일 휴무)",0507-1326-4406,"계절숙성회, 해산물, 제철메뉴"
주052,서울 성동구 고산자로14길 26,"매일 16:00-21:00(라스트오더 20:00, 월요일 휴무)",02-2281-0343,"언양불고기, 장어국수, 편육샐러드, 052 누룩육회"
"늘,안암",서울 성북구 고려대로24가길 13-2 1F,"매일 17:00-01:00, 정기휴무 인스타그램 공지(@neul.anam)",0507-1329-1748,"한우 도가니 어묵전골, 웅치기 닭, 늘 닭볶음탕, 늘 떡볶이"
백곰막걸리,서울 강남구 압구정로48길 39,"월-목 17:00-00:00, 금-토 17:00-01:30, 일요일 휴무",010-6822-7644,"통영 탱글탱글 가리비찜, 촉촉보들 이베리코 목살 수육, 부산 달고기 소금구이"
더다믐,서울 마포구 동교로38길 30,"화~금 17:00-24:00, 주말 13:00-24:00(월요일 휴무)",02-6080-7971,"명란감자전, 고추장육회, 연두부 치즈두루치기"
작정,서울 강남구 논현로163길 13-4 지하1층,"매일 18:00~02:00(거리두기 기간 14:00~22:00, 일요일 휴무)",0507-1446-8123,맡김차림(8코스)예약필수
독도16,서울 종로구 자하문로33길 10 1층,"매일 18:00~21:00(월요일, 일요일 휴무)",0507-1359-1811,제철 생선 구이
낯선한식븟다,서울 동작구 사당로30길 28 1층,"평일 11:40-22:00(점심 브레이크타임 13:30-15:30, 저녁 주문마감 21:00), 주말 13:00-22:00",0507-1314-5250,"대대포막걸리, 도문대작막걸리"
학술적연구소,서울 종로구 보문로1길 7-4,"평일 17:00-01:00(주문마감 24:00), 토요일 17:00-01:00(주문마감 24:00) 일요일 휴무",070-8814-8101,"채끝 스테이크, 닭볶음스튜"
금남정,서울 성동구 금호산2길 18 1층,"매일 17:30-23:55 (매주 일요일 휴무, 격주 월요일 휴무)",0507-1359-3280,마늘 버터 명란 구이
미주가,서울특별시 은평구 갈현동 452-12 1층 좌측,"매일 19:00-04:00 (02:00 입장 마감) , 매주 일요일 휴무",02-356-9345,"이베리코구이, 소프트크랩튀김, 부채살스테이크"
요릿집,서울특별시 서대문구 연희맛로 36,"매일 12:00-16:00 (낮술 코스요리 예약제로 운영), 매일 17:00-01:00",02-395-7004,제철 재료로 일주일에 한번 바뀌는 한식 코스요리
연남고집,서울특별시 마포구 동교로38길 7,"평일 17:00-22:00, 주말 16:00-22:00, 매주 화요일 휴무",02-6080-2457,"오겹살 수육, 가리비백합탕, 전라도식육전"
성북동 막걸리,서울 성북구 동소문로2길 25,매일 15:00 ~ 02:00,02-747-6165,"파전, 막걸리"
산울림1992,서울 마포구 서강로9길 60,매일 17:00   01:30일요일 15:00낮술타임[15시~18시:한국술1+1(한정)],0507-1425-0118,"치즈감자전, 반상세트"
술개구리,서울 마포구 양화로6길 77,화-토 : 17:00 ~ 01:00일 : 17:00 ~ 24:00월요일 휴무,02-322-1101,"돼지고기 숙주볶음, 술개구리 감자전, 두부김치, 해물짬뽕탕 등"
이박사 신동막걸리,서울 마포구 토정로 263,매일 12:00 ~ 23:30일요일 휴무,02-702-7717,"막걸리, 굴조개찜, 한우등심구이"
얼쑤,서울 마포구 어울마당로 136-3 2층,매일 17:00 ~ 01:00 일요일 휴무,02-333-8897,"막걸리, 파전"
가제트 술집,서울 마포구 양화진길 5,매일 17:00 ~ 01:30일요일 17:30 ~ 00:30,070-7529-7850,"막걸리, 감자전 등"
막걸리학교,서울 동작구 동작대로25길 41,매일 17:00 ~ 01:00,02-6012-6550,"막걸리, 두부김치"
막걸리이야기,서울 관악구 남부순환로272길 8,"평일 18:00 ~ 22:00토요일 15:00 ~ 20:00일요일 휴무, 공휴일 휴무",02-588-1516,수육
주막,서울 강북구 월계로7나길 30-3,매일 15:00 ~ 01:30,070-7607-1680,"그대로 감자전, 해물지지미"
팔뚝집,서울 도봉구 도봉로 181길 70,평일 16:00~ 24:00주말/공휴일 낮 1시~밤 12시 (매주 월요일 휴무),070-8899-1711,"따판지, 만두전골"
담은,서울 서초구 잠원동 69-2 반포쇼핑타운 4동 지하,매일 17:00 ~ 01:00,02-536-7500,"모듬전, 돈 담은 육전"
술이송송,서울시 광진구 화양동 47-1번지 2층,매일 16:30 ~ 01:30,0507-1306-7731,"불고기 치즈 파전, 베이컨 치즈 김치전 등"
작,서울 강남구 논현로95길 14,"매일 18:00~2:00 / 일요일, 공휴일 휴무",02-501-2342,우리술 칵테일
마법갈비 요술꼬치,서울 강남구 선릉로157길 26,매일 17:00~03:00,02-543-9289,"닭완자 꼬치, 대파&amp;닭"
취하당,서울 강남구 강남대로 442,매일 11:00 ~ 02:00,0507-1302-5717,"차돌숙주볶음, 오색빛깔 모듬전"
2018년 5월,서울 감남구 연주로170길 27,매일 18:00 ~ 01:00,010-6572-1571,"배추전, 보쌈"
청담만옥,서울 강남구 언주로152길 13,월~토 11:30 ~ 01:00 (일요일 휴무),02-6673-8888,"성게알알알, 청담한상"
묵전,서울 강남구 언주로168길 22,월~토 11:30 ~ 02:00일요일 11:30 ~ 23:00공휴일 11:30 ~ 01:00,02-548-1461,"시골장터모둠전, 모듬해물파전"
막걸리는 살아있다,서울 강남구 도산대로51길 39 B1,매일 16:00 ~ 03:00 (월요일 휴무),0507-1321-1941,"우럭탕수, 탁주, 약주, 증류주 등"
달빛보쌈,서울 강남구 선릉로111길 8,"평일 11:30-22:30주말, 공휴일 휴무",02-540-7890,"달빛모둠보쌈, 달빛 술상"
매향이네 주막,서울 강남구 봉은사로18길 90,매일 05:00 ~ 02:00,02-555-6057,"숙주 듬뿍 닭볶음탕, 베이컨 김치전"
대동집 강남점,서울 강남구 봉은사로18길 88,매일 15:30 - 03:00,02-554-4574,"대동보쌈세트, 육회, 육전, 해물파전"
다모토리 히읗,서울 용산구 신흥로 31,"금, 토 18:00 ~ 01:00평일 18:00 ~ 00:00",070-8950-8362,"갈비구이와 부추샐러드, 막걸리 등"
한국술집 안씨막걸리,서울 용산구 이태원동 257-4,매일 18:00 ~ 01:00,010-9965-5112,"지리산하몽, 막걸리 ,약주 등"
해방촌 윤주당,서울 용산구 신흥로 81-1,"월, 수, 목, 일 18:00 ~ 24:00금, 토 18:00 ~ 01:00화요일 휴무",010-7297-5765,"외할머니 호박찌개, 치즈단감자전, 제주막창순대"
이파리,서울특별시 서대문구 연희맛로 4 다송빌딩 2층,매일 17:00 - 00:00일요일 휴무,02-336-5188,"조선간장 육회, 도가니 된장전골"
물뛴다,서울 서대문구 경기대로 43,평일 17:00-24:00,02-392-4200,"김치 생 두부, 명란 두부 젓국,몬트락 보쌈, 소고기 수육전골"
산체스 막걸리,서울 종로구 윤보선길 26,매일 18:00 ~ 23:00,02-735-0723,"미국감자전, 바지락술찜"
두두,서울 종로구 동숭2길 3-4,매일 16:00 - 01:00,010-9119-1884,"명태무침보쌈, 명란구이"
더 그리핀 (The Griffin),서울 종로구 청계천로 279,매일 18:00 ~ 02:00,02-2276-3344,우리술 칵테일
익선반주,서울 종로구 돈화문로11다길 31,매일 11:30 ~ 22:30주말 11:30 ~ 22:30,02-529-3979,"맵계, 문어 카르파치오, 불고기지짐이"
반기다,서울 종로구 익선동 166-52,매일 11:30 ~ 22:00,02-6408-6511,"퓨전 한식, 막걸리 칵테일 등"
반구절점,전북 전주시 완산구 전라감영4길 16-7 1층,월-금 18:00-02:00 일 17:00-24:00,0507-1369-8996,"순두부찌개, 김치 치즈 전 스틱, 불고기메밀 쌈, 육회 타르타르, 모둠어묵탕, 베이컨 감자전, 부추 새우 전 스틱, 맥적구이, 떡갈비 지짐, 토마토 범벅. 팽이버섯 튀김, 어란 슬라이스, 명란구이, 수제약과, 들깨라면"
까치호랑이,대전 유성구 궁동로18번길 61 2층,매일 18:00-새벽02:00 (매주 일요일 휴무)(매달 첫째주 월요일 휴무),0507-1418-1636,"새우 부추튀김,토종 닭 무침,호랑이 육전,된장수육 큰상,마라 순두부찌개"
교우,창원특례시 성산구 상남동 14-3 진성빌딩 1층,평일 17:00~02:00/금토-17:00~03:00(연중무휴),010-3467-2230,"남도식 육회,장아찌 삼겹,항정살 스테이크 파스타,수육 전골,누릉지 불고기 전골, 불고기 땡초 크림 파스타,육전,조개술찜,돼지고기 짜글이"
잔 3.0,경기 화성시 동탄하나1길 61,매일 17:00 - 새벽 01:30 (일요일 휴무),070-8777-3839,"육회소면, 닭강정, 들기름 연어 묵은지 무침, 나가사키 어묵탕, 불 맛 삼겹 볶음"
을해,경기 남양주시 도농로중촌2길 8-16,매일 17:00-02:00 (일요일 휴무),0507-1342-1083,"우설수육, 돼지꼬리찝, 유린기, 베이컨 크림 파스타"
천춘일 식당,"부산 동구 자성로75번길 29 그린빌리지103호, 천춘일 식당",매일 06:00-00:00,010-3059-9713,"숯불돼지 갈비구이, 한우암소육회, 녹두 빈대떡"
정갈,경기도 고양시 일산동구 일산로 30 효성레제스오피스텔 111호,매일 17:00~01:00(월요일 휴무),0507-1346-0256,"돼지갈비구이, 항정 삼합, 꽃 육회, 바지락 술찜"
주인 : 술과 사람,대구 서구 서대구로3길 55 1층,매일 18:00-03:00(월요일 휴무),0507-1338-7102,"순살 닭볶음탕, 크림새우퐁듀, 치즈감자전, 스팸 고추장 찌개"
선운산풍천장어,대구 달서구 달구벌대로243길 36,"평일 11:00-20(주문마감 23:00), 일요일 11:00-22:00, 공휴일 11:00-23:00",0507-1313-0839,풍천장어구이
해달별담,"전남 여수시 웅천남4로 17, 2층 207호",매일 18:00~01:00(월요일 휴무),010-2297-4160,"방풍 새우전, 육전"
술토리,인천광역시 연수구 경원대로483번길 18 101호,매일 17:00-22:00(일요일 휴무),032-815-9713,"뢰스티, 베이컨치즈전"
명륜미술관,강원 원주시 남원로647번길 14 2층,"월-목 17:30-24:00, 금-토 17:30-01:00, 일요일 휴무",0507-1323-4525,"동해안 비단 조개탕, 가리비찜"
일호선,경기 수원시 영통구 중부대로271번길 19-6 1층 일호선,매일 17:00 - 22:00 매주 일요일 휴무,031-216-7892,"한우육회, 닭묵은지찜"
사이반주,강원도 춘천시 우묵들길5 1층,매일 18:00-01:00,033-253-9994,"전 플레이트, 장흥 삼합, 해물 김치전, 콰트로 치즈 김치전"
인동주마을,전남 목포시 복산길12번길 5,매일 10:00 ~ 22:00,061-284-4068,"홍어삼합, 간장꽃게장"
삼강주막마을,경북 예천군 풍양면 삼강리길 91,매일 09:00 ~ 18:00,054-655-3132,"막걸리, 두부, 도토리묵"
부부술집 0325,경기 고양시 일산동구 무궁화로93번길 29,매일 15:00 ~ 00:00,070-8272-3108,"오징어볶음, 해물파전 등"
별주막,경기 과천시 별양상가 1로 37,영업시간 평일 15:00 ~ 01:00토/일요일 14:00 ~ 01:00,02-504-7016,"막걸리, 프리미엄 막걸리"
와이즈,제주특별자치도 서귀포시 천제연로 209-1 2층,18:00-01:00 일요일 휴무,064-738-7302,"메뉴변동, 우리술"
도전,강원도 강릉시 하슬라로 206번길 19-1 1층,월~토요일 16:00 ~ 02:00 일요일 16:00 ~ 24:00,033-645-2346,"꼬막무침, 홍어삼합"
왕탁,(본점)대구 남구 봉덕동 712-5(2호점) 대구 중구 삼덕동 149-71,(본 점) 17:00 ~ 2:00 / 일요일 휴업(직영2호점) 17:00 ~ 2:00 / 연중무휴,0507-1418-2133,"수제두부짜글이, 육납무"
산성막걸리,부산 부산진구 부전로96번길 28,-,051-802-9995,"홍어 사합, 매콤 두루치기"
동래할매파전,부산 동래구 명륜로94번길 43-10,매일 12:00 ~ 22:00월요일 휴무,051-552-0792,"동래파전, 동래고동찜, 골뱅이무침"
주화담,부산 동래구 온천천로 155,평일 17:30 ~ 2:00 주말 17:30 ~ 3:00,010-5764-5363,주화담떡갈비 얼큰새우탕 육전+새우부추전
술곳간,부산 수영구 무학로21번길 98 1층,17:00 - 03:00 / 월요일 휴무,0507-1417-0784,"막걸리, 약청주, 증류소주, 청어알쌈, 돼지갈비구이"
귀빈전,부산 연제구 쌍미천로 151번길 48,17:30 ~ 2:00 / 일요일 휴무,051-852-3455,"귀빈모듬전, 막걸리 등"
